SalePrice,Ratio
72381.08028,1.26334168
123517.8957,1.105673569
155992.0162,1.040507289
188172.9954,1.003497881
225142.5377,0.947492564
265631.1817,0.908969369
317617.5581,0.867766756
388422.0769,0.846987944
511072.6546,0.831305993
1078042.17,0.746260549
